claim,label
"""The money the Clinton Foundation took from from foreign governments while Hillary Clinton was secretary of state """"is clearly illegal. � The Constitution says you can�t take this stuff.""",false
Annual Mammograms May Have More False-Positives,mixture
SBRT Offers Prostate Cancer Patients High Cancer Control and Low Toxicity in Fewer Treatments,mixture
"Study: Vaccine for Breast, Ovarian Cancer Has Potential",true
Some appendicitis cases may not require �emergency� surgery,true
Britain to reveal trial criteria for coronavirus antibody tests.,true
Angioplasty through the wrist backed by new study,true
U.S. says results encouraging for healthcare delivery reforms.,true
Latest trial in J&J talc litigations gets under way in California.,true
Poor test results for heart drugs,false
"Opossums kill thousands of ticks each week, inhibiting the spread of Lyme Disease to humans.",true
Democrats hoping to flip House not just trash-talking Trump.,true
"Hoodies riddled with faux bullet holes bearing the names of schools involved in massacres (including Columbine, Sandy Hook, and Marjory Stoneman Douglas) are available for purchase.",mixture
Cancer Activist Sounds Alarm For Early Testing For Genetic Marker,false
"At the end of 2016, there were 23 percent fewer federal prosecutions than in 2011, so (prosecutors) looked at this scourge (opioid deaths) and they let it go by.",mixture
The train carrying GOP members of Congress to a West Virginia retreat crashed due to a Deep State plot.,false
Sex tech from women-led startups pops up at CES gadget show.,true
Waxed apples cause cancer.,false
Viral image Says BBC prematurely reported �Ghislaine Maxwell moved to intensive care as coronavirus symptoms worsen.�,false
John Faso took money from fossil fuel companies as they tried to take your land by eminent domain for a fracked gas pipeline.,mixture
Officials alert health care providers of HIV surge.,true
The United States Secret Service arrested Alec Baldwin for threatening President Donald Trump at the 2017 Emmy Awards.,false
Hillary Clinton is (or was) a member of Monsanto's board of directors.,false
"Rhode Island will become just the second state to mandate the vaccine � and the only state to do so by regulatory fiat, without public debate, and without consideration from the elected representatives of the people.",mixture
"I�ll never go through shoulder surgery again, so here�s what I did",mixture
"CostCo stores will require shoppers to wear masks beginning on May 4, 2020.",true
Brazil cities lurch to lockdowns amid virus crisis red flags.,true
Laser Used to Blast Away Cells Causing Irregular Heartbeat,false
Slovakia's new government to sharply ramp up coronavirus testing.,true
The coronavirus is �simply the common cold.�,false
Encouraging news about reversing heart disease,false
Microwave ovens were banned in the USSR in 1976 to protect its citizens from harmful health effects.,false
"Jimi Hendrix, Jim Morrison, Janis Joplin, and Kurt Cobain all died with white Bic lighters in their pockets.",false
Schools in Austin Independent School District are teaching children as young as 4 years old that their gender is fluid � that they�re not a boy or a girl and they can choose whichever gender they want.,false
Spiriva as good as Serevent in asthma study,mixture
Massachusetts to help test addiction treatment rating system.,true
 Secretary of State John Kerry�s daughter married an Iranian man with connections to an Iranian foreign minister who participated in nuclear negotiations. ,false
U.N. urged by own staff to look at its climate footprint.,true
ALS patient behind ice bucket challenge: I will bounce back.,true
State Senate leader outlines agenda as lawmakers sworn in.,true
Menopause: A flash of concern,false
"""Sen. Elizabeth Warren once said: """"Having�an abortion is no different than someone having their tonsils removed.""",false
Instagram posts Says no one has died from the coronavirus in the United States.,false
"""Rick Scott's Starbucks heckler Says Rick Scott """"cut Medicaid"""" so people can't """"get Obamacare.""",mixture
"Italy is hit hard, experts say, only because they have the oldest population in Europe.",true
'Enemy of mankind': Coronavirus deaths top SARS as China returns to work.,true
Some of the safest communities in the United States are along the border.,true
Holiday fitness gifts trend from high-tech to basic.,true
 The message claims that the singer Shakira was a guest on MTV and during a segment of live telephone calls refused to speak to an Israeli caller.� She is quoted as having said that she�d rather have pigs listening to her music than Israelis.� The eRumor encourages a boycott of Shakira�s music.   ,false
"""Secretary of State John Kerry """"funneled"""" taxpayer money into his daughter's global charity.""",unproven
An audio message lists five ways people can prevent the novel coronavirus.,false
Mass virus test in nursing home seeks to combat loneliness.,true
Dwayne Bohac Says the Annie's List political group supports third-trimester abortions on demand.,false
Experiments test if implant can block sleep apnea,false
"Tokyo reports 143 new coronavirus cases, highest jump in one day: governor.",true
"""The gun industry is�""""the only business in America that is wholly protected from any kind of liability.""",false
A captive panda deliberately faked symptoms of pregnancy in order to obtain special treatment from her keepers. ,false
Judge won�t end decades-old Everglades cleanup oversight.,true
"A Washington, DC clergyman tested positive for COVID-19, potentially exposing congregants.",true
"""Dan Patrick Says Texas tax legislation would """"save the average homeowner in Texas $20,000 a year over the next 20 years or so.""",false
"No more menthol cigarettes: New ban on tobacco, vape flavors.",true
Indonesian villagers performed a rite that brought a dead woman back to life after three years in the grave.,false
"""Medicaid expansion """"could cost the Commonwealth of Virginia over $1 billion a year...""",false
"As wildfires grow deadlier, officials search for solutions.",true
"""Some doctors say Ebola can be transmitted through the air by """"a sneeze or some cough.""",false
The number of people in Atlanta dying from HIV and AIDS declined 59 percent between 2004 and 2012.,true
"Stem cells can be harvested from baby teeth, so it's a good idea to preserve them in private stem cell banks for future use in medical treatments.",mixture
Bioweapon! Zika virus is being spread by GMO mosquitos (sic),false
"""Freedom Partners Says Bruce Braley took """"tens of thousands from his friends in the health insurance industry"""" and gave them """"special favors"""" by voting for Obamacare.""",false
"Shaving makes your hair grow back in thicker, faster, and fuller.",false
Arkansas election office may move due to high mold levels.,true
"Britain confirms bird flu case in Lancashire, to cull infected poultry.",true
"""If Florida expanded Medicaid, """"some studies indicate it would create about 120,000 jobs.""",mixture
�1.8 billion of �new money� has been announced for the NHS over the next five years.,mixture
"Increasing the international health surcharge to �625 and extending it to all foreign workers, including EU migrants after Brexit, will raise over �500 million a year.",unproven
Britain loses case to delay submission of air pollution plan.,true
"You see a whole bunch of Korean cars here in the United States, and you don't see any American cars in Korea.",true
Tai Chi Reported to Ease Fibromyalgia,true
FDA approves AbioCor heart,mixture
New treatment offers some hope for an unshakable tremor,true
FDA Approves Roche�s Cotellic Treatment for Melanoma,false
"""FDA-approved """"synthetic marijuana"""" leads to deaths in Illinois.""",false
Sen. David Perdue advised attendees to offer up an ominous prayer aimed at President Obama during the 2016 Faith & Freedom Coalition�s Road to Majority conference.,true
"This is COVID-19, not COVID-1, folks. And so you would think the people charged with the World Health Organization facts and figures would be on top of that.",false
Fermented dairy products may protect against heart attack,false
"UK calls for 250,000 volunteers as virus deaths surge.",true
FDA approves first inhalable version of insulin,true
Iran's thirsty energy industry runs up against water shortage.,true
Tamiflu is responsible for the increased number of deaths this flu season.,false
"""The Obama administration issued an """"11th-hour rule that entrenches federal family planning funding for Planned Parenthood.""",true
Plague confirmed in prairie dogs in Commerce City.,true
Indonesia reports biggest jump in coronavirus deaths as Malaysia trend improves.,true
Facebook post Says Michigan COVID-19 order bans gardening and the sale of vegetable seeds and fruit.,false
"""Greg Walden Says the federal stimulus program was ineffective because """"the number of jobs has actually decreased by 18,300 through July 2011.""",mixture
"Rules for reopening hotels, gyms, attractions taking shape.",true
The Greenest County in America.,false
"New California laws help animals, fire victims, immigrants.",true
Ten percent of violent deaths in the U.S. each year are due to strangulation.,false
Quarantine is when you restrict the movement of sick people.,false
"""Hot mic"""" video from a White House coronavirus briefing revealed a far lower """"real"""" case-fatality rate, as well as the existence of a vaccine provided to the government and the press corps (but not you.)""",false
"""Chain email Says """"At age 76 when you most need it, you are not eligible for cancer treatment"""" under Affordable Care Act.""",false
"�As soon as I endorsed (Supreme Court Justice Daniel Kelly), the Wisconsin Democrats said, let�s move the election to two months later.�",false
New Heart Imaging Method May Predict Heart Attack,false
New Mexico man in house arrest sues to use medical marijuana.,true
"""Obamacare provision will allow """"forced�home inspections"""" by government agents.""",false
Cruise ship passengers 'in limbo' off San Francisco awaiting coronavirus tests.,true
Study paves the way for a blood test to predict Alzheimer's.,true
"""If you Google """"unprofessional hairstyles for men"""" and """"""""unprofessional hairstyles for women"""" or """"professional hairstyles for men"""" and """"professional hairstyles for women,"""" results appeared to be racially biased.""",mixture
"According to a body language expert, a photograph of President Obama crying reveals he is a psychopath.",false
"At least 100,000 churches called for the withdrawal of Brett Kavanaugh's Supreme Court nomination.",mixture
A landline disengaged from its cradle will eventually self-dial 911.,false
"""Massaging olive oil into breast skin and tissue can prevent and reverse """"sagging.""",unproven
The mortality rate for the flu is �right around� that of the new coronavirus: �It�s right around 2%.�,false
Clot-busting drugs save limbs from frostbite.,true
"Mitch McConnell said he wanted states to go bankrupt instead of the federal government providing relief. Today, Thom Tillis agreed.",false
David Perdue Says his policy is that �health insurance should always cover preexisting conditions. For anyone. Period.�,false
"Amy, I looked online at your (health care) plan. It�s two paragraphs.",false
Vitamin B and its role in improving memory,true
Iran plans tougher restrictions as coronavirus toll rises.,true
Red Bull and Bang energy drinks test positive for various illicit or prescription drugs in substance or urine tests,false
Blood drug trades benefit for risk,true
"Wearing masks for the coronavirus �decreases oxygen intake, increases toxin inhalation, shuts down immune system, increases virus risk, scientifically inaccurate, effectiveness not studied.�",false
Wisconsin man accused in illegal THC vaping cartridge scheme.,true
Yoga shows some benefit for diabetes,false
New study from KKI shows feasibility of acupuncture in young children with ASD,false
Colombian rebel-turned-candidate OK after heart surgery.,true
"Covid-19 clots the blood causing thrombosis, stopping blood flow and oxygenating the heart and lungs.",false
"""George Flinn Says his """"patents in ultrasound have revolutionized modern medicine.""",false
Kansas lawmakers want stronger law on mental health coverage.,true
The Trump administration fired the U.S. pandemic response team in 2018 to cut costs.,true
Former NFL player Ryan Leaf gives speech on  substance abuse.,true
"""Some states hit hardest by opioid deaths """"have more opioid prescriptions than residents.""",true
The chubby girl from Ipanema? Brazil puts on weight.,true
 Charles Manson has been granted parole and will be released from prison. ,false
Only three in 10 Texas doctors are currently accepting new Medicaid patients.,false
Samsung Bioepis biosimilar to Roche's Herceptin wins FDA nod.,true
A set of photographs shows the gruesome results of a pico jackfruit snake bite. ,unproven
Italy experts say reliable coronavirus antibody test may be ready soon.,true
Drug�s benefit to younger breast cancer patients in question,mixture
Image shows radioactive seepage spreading across the Pacific Ocean from the Fukushima nuclear plant.,false
Brazil�s Bolsonaro eyes new body for environmental policy.,true
Heart Drug Linked to Extra Years for Cancer Patients,true
"Residents of Flint, Michigan have been threatened by CPS with removal of their children if they refuse to pay for contaminated water.",false
University of Waterloo develops new way to fight HIV transmission,false
Partnership plans to build cancer treatment machine,mixture
"Jacqueline Saburido, the victim of a drunk driving accident, seeks donations to help with the expenses of medical treatment for her extensive injuries.",mixture
"Text Reminders Help People Lower Cholesterol, Blood Pressure",true
Nearly 45 percent of the women who receive health screenings through (the Women�s Health Program) do so at a Planned Parenthood health center.,mixture
"In Madagascar, plague outbreak now threatens largest cities.",true
Preventive neuroradiology: Brain imaging bolsters efforts to lower Alzheimer's risk,false
European measles cases highest in a decade as pockets refuse vaccination.,true
Wisconsin residents using medical cannabis amid restrictions.,true
Denver to furlough thousands of workers amid coronavirus.,true
"""Insurers delayed an Illinois man's treatment, """"and he died because of it.""",false
"""Fetal cells from abortions are being used to flavor commercial foods and drinks or in the production of a mysterious substance known as """"adrenochrome.""",false
I personally am pro-choice. I always have been. And I made no qualms about that when I was elected governor.,true
"""Tammy Baldwin Says Scott Walker's views on abortion are more restrictive """"than any Republican president in recent times.""",true
"""Popeye's Louisiana Kitchen is selling """"emotional support chicken"""" for weary flight passengers.""",true
EU panel recommends suspension of risky bone disease drug.,true
Fate of opioid litigation hinges on government 'police power'.,true
Retailers T.J. Maxx and Marshall's sell counterfeit salon products.,false
"""ISIS leader Abu Bakr al Baghdadi was """"released by Obama in 2009.""",false
"More people are driving under the influence of drugs than are driving under the influence of alcohol. A recent roadside survey showed that 16 percent of the people tested, tested positive for illicit or licit drugs. That's significantly higher than alcohol.",mixture
Cricketer Maxwell to take break due to mental health issues.,true
"� The email says that Simon and Schuster has announced a new CD-ROM computer game where ��to win the game, boys must strip supermodels down to their underwear, then provide photographs of them to aliens who �wore out� their one lingerie catalog � or else the aliens� �hormone driven anger� will destroy the earth.�   ",true
"If you can hold your breath without coughing, discomfort, stiffness, or tightness, your lungs do not suffer from fibrosis and therefore you have no COVID-19 infection. ",false
"The fruit of the graviola tree (soursop or guyabano), or other components of the plant (A. muricata), are a viable cure for cancer.",false
New Drug Shows Promise Against Huntington�s Disease,mixture
Michael Bloomberg Says �black babies die at rates twice as high as white babies because of a lack of access to affordable health care.�,true
Moldy bread or grain blamed for Canada geese deaths.,true
Nordic scientists start trial on nicotine vaccine.,true
State awards license to grow medical marijuana in Missouri.,true
"Instagram posts Says �Bill Gates and other globalists, in collaboration with pharmaceutical companies, are reportedly working to push tracking bracelets and �invisible tattoos� to monitor Americans during an impending lockdown.�",false
"""Pediatricians have cut down on the number and proximity of vaccines because they recognize there have been """"too many in too short a period of time.""",false
Joe Biden Says President Donald Trump �took more than a month to allocate Congress� emergency funding to tribes � and only did so after tribes sued.�,true
"Amid doc�s murder case, lawsuits reflect battle over blame.",true
"The number of mental health nurses has fallen from 46,155 to 39,358 [since 2009].",mixture
"""Abortion coverage is a standard insurance benefit """"in nearly 90 percent of private plans sold in the U.S.""",false
"The Walton family, which owns Wal-Mart, controls a fortune equal to the wealth of the bottom 42 percent of Americans combined.",true
You've got a medical report on me that meets the same standard as Mitt Romney and Barack Obama.,true
Relapses of childhood leukemia improve with high doses of common chemo drug,true
Governments to discuss tackling tuberculosis at UN summit.,true
Low-Carb Diet Lowers Blood Pressure,false
"The household plant Dieffenbachia, one of the most common indoor plants, is so poisonous it can kill a child in one minute and an adult in 15 minutes.",false
�The CDC can detain anyone with a fever � indefinitely. � Vaccination (is) a way people could get out of detention.�,false
"""An article published in a medical journal makes reference to nicknames for hormone replacement therapy that included """"antiboyotics, trans-mission fluid, and the Notorious H.R.T.""",true
Mammograms’ Value in Cancer Fight at Issue,true
New tool helps identify risk for post-surgical dislocations following hip replacement,mixture
"""No other country comes even close to"""" the """"nearly 40,000 people in this country"""" lost to gun violence.""",false
